(2025-01-01 14:55:17,322) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 14:55:20,385) | root| INFO | => Thread canceled - Remaining time: 2 seconds
(2025-01-01 14:55:25,471) | root| INFO | => Thread completed
(2025-01-01 14:55:34,682) | root| INFO | => Thread canceled - Remaining time: 3 seconds
(2025-01-01 14:55:39,762) | root| INFO | => Thread completed
(2025-01-01 14:59:43,597) | root| INFO | => Thread completed
(2025-01-01 14:59:51,895) | root| INFO | => Thread canceled - Remaining time: 0 seconds
(2025-01-01 14:59:53,928) | root| INFO | => Thread canceled - Remaining time: 3 seconds
(2025-01-01 14:59:58,993) | root| INFO | => Thread completed
(2025-01-01 15:00:08,199) | root| INFO | => Thread canceled - Remaining time: 2 seconds
(2025-01-01 15:00:13,264) | root| INFO | => Thread completed
(2025-01-01 15:00:20,807) | root| INFO | => Thread completed
(2025-01-01 15:07:04,158) | root| INFO | => Thread completed
(2025-01-01 15:07:11,349) | root| INFO | => Thread canceled - Remaining time: 0 seconds
(2025-01-01 15:07:15,420) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-01 15:07:16,454) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:07:21,621) | root| INFO | => Thread completed
(2025-01-01 15:07:28,121) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:07:29,135) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:07:30,139) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:07:34,180) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-01 15:07:39,364) | root| INFO | => Thread completed
(2025-01-01 15:09:55,839) | root| INFO | => Thread completed
(2025-01-01 15:10:03,328) | root| INFO | => Thread completed
(2025-01-01 15:10:10,109) | root| INFO | => Thread completed
(2025-01-01 15:10:14,838) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:10:20,042) | root| INFO | => Thread completed
(2025-01-01 15:10:38,666) | root| INFO | => Thread completed
(2025-01-01 15:10:42,037) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:10:43,042) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:10:44,064) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:10:45,070) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:10:46,083) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:10:51,254) | root| INFO | => Thread completed
(2025-01-01 15:10:57,987) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:10:58,993) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:11:00,008) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:11:01,019) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:11:06,227) | root| INFO | => Thread completed
(2025-01-01 15:11:55,763) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:11:56,797) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:12:01,952) | root| INFO | => Thread completed
(2025-01-01 15:12:53,782) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:12:58,955) | root| INFO | => Thread completed
(2025-01-01 15:13:03,967) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:13:04,984) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:13:10,193) | root| INFO | => Thread completed
(2025-01-01 15:14:23,639) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:14:24,644) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:14:29,829) | root| INFO | => Thread completed
(2025-01-01 15:14:44,407) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:14:45,430) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:14:46,434) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:14:51,630) | root| INFO | => Thread completed
(2025-01-01 15:19:08,134) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:19:09,150) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:19:14,295) | root| INFO | => Thread completed
(2025-01-01 15:19:17,624) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:19:22,798) | root| INFO | => Thread completed
(2025-01-01 15:19:27,689) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-01 15:19:32,865) | root| INFO | => Thread completed
(2025-01-01 15:21:13,727) | root| INFO | => Thread completed
(2025-01-01 15:21:25,281) | root| INFO | => Thread completed
(2025-01-01 15:21:35,868) | root| INFO | => Thread completed
(2025-01-01 15:25:17,329) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:18,345) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:19,355) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:20,367) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:21,372) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:22,384) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:23,387) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:24,404) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:29,491) | root| INFO | => Thread completed
(2025-01-01 15:25:48,239) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:49,258) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:50,269) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:51,286) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:52,303) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:53,306) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:54,324) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:25:55,341) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:26:00,438) | root| INFO | => Thread completed
(2025-01-01 15:27:24,194) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:27:25,208) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:27:30,398) | root| INFO | => Thread completed
(2025-01-01 15:27:36,392) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:27:37,398) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:27:42,571) | root| INFO | => Thread completed
(2025-01-01 15:27:50,786) | root| INFO | => Thread completed
(2025-01-01 15:30:28,724) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:30:29,736) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:30:34,912) | root| INFO | => Thread completed
(2025-01-01 15:30:39,097) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:30:40,108) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:30:45,296) | root| INFO | => Thread completed
(2025-01-01 15:30:53,282) | root| INFO | => Thread canceled - Remaining time: 3 seconds
(2025-01-01 15:30:58,443) | root| INFO | => Thread completed
(2025-01-01 15:31:07,258) | root| INFO | => Thread canceled - Remaining time: 3 seconds
(2025-01-01 15:31:08,304) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:31:09,305) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:31:14,503) | root| INFO | => Thread completed
(2025-01-01 15:31:23,746) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:31:24,756) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:31:25,758) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:31:30,915) | root| INFO | => Thread completed
(2025-01-01 15:31:39,089) | root| INFO | => Thread completed
(2025-01-01 15:31:46,197) | root| INFO | => Thread completed
(2025-01-01 15:31:51,018) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:31:52,023) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:31:53,030) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:31:58,211) | root| INFO | => Thread completed
(2025-01-01 15:44:50,024) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:44:51,032) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:44:52,042) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:44:53,055) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:44:54,061) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2025-01-01 15:44:59,224) | root| INFO | => Thread completed
(2025-01-01 15:46:24,543) | root| INFO | => Thread completed
(2025-01-01 15:46:33,081) | root| INFO | => Thread completed
(2025-01-01 15:46:36,676) | root| INFO | => Thread canceled - Remaining time: 3 seconds
(2025-01-01 16:00:22,994) | root| INFO | => Thread completed
(2025-01-01 16:02:34,126) | root| INFO | => Thread completed
(2025-01-01 16:02:57,687) | root| INFO | => Thread completed
(2025-01-01 16:04:06,739) | root| INFO | => Thread completed
(2025-01-01 16:04:16,323) | root| INFO | => Thread completed
(2025-01-01 16:04:23,910) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-01 16:04:29,100) | root| INFO | => Thread completed
(2025-01-01 16:04:35,050) | root| INFO | => Thread completed
(2025-01-01 16:04:42,237) | root| INFO | => Thread completed
(2025-01-01 16:05:17,712) | root| INFO | => Thread completed
(2025-01-01 16:06:17,815) | root| INFO | => Thread completed
(2025-01-01 16:06:26,906) | root| INFO | => Thread completed
(2025-01-01 16:06:40,801) | root| INFO | => Thread completed
(2025-01-01 16:06:48,978) | root| INFO | => Thread completed
(2025-01-01 16:06:59,297) | root| INFO | => Thread completed
(2025-01-01 16:07:15,117) | root| INFO | => Thread completed
(2025-01-01 16:07:27,690) | root| INFO | => Thread completed
(2025-01-01 16:07:44,899) | root| INFO | => Thread completed
(2025-01-01 16:07:58,601) | root| INFO | => Thread completed
(2025-01-01 16:08:08,580) | root| INFO | => Thread canceled - Remaining time: 0 seconds
(2025-01-01 16:08:13,751) | root| INFO | => Thread completed
(2025-01-01 16:08:22,455) | root| INFO | => Thread completed
(2025-01-01 16:08:37,608) | root| INFO | => Thread completed
(2025-01-01 16:09:06,250) | root| INFO | => Thread completed
(2025-01-01 16:09:18,330) | root| INFO | => Thread completed
(2025-01-01 16:09:29,631) | root| INFO | => Thread completed
(2025-01-01 16:09:40,942) | root| INFO | => Thread completed
(2025-01-01 16:09:54,409) | root| INFO | => Thread completed
(2025-01-01 16:10:04,012) | root| INFO | => Thread completed
(2025-01-01 16:10:29,619) | root| INFO | => Thread completed
(2025-01-01 16:10:38,839) | root| INFO | => Thread completed
(2025-01-01 16:10:46,040) | root| INFO | => Thread completed
(2025-01-01 16:10:55,199) | root| INFO | => Thread completed
(2025-01-01 16:11:03,709) | root| INFO | => Thread completed
(2025-01-01 16:13:05,661) | root| INFO | => Thread completed
(2025-01-01 16:13:13,967) | root| INFO | => Thread completed
(2025-01-01 16:13:27,681) | root| INFO | => Thread completed
(2025-01-01 16:13:35,160) | root| INFO | => Thread canceled - Remaining time: 0 seconds
(2025-01-01 16:13:40,342) | root| INFO | => Thread completed
(2025-01-01 16:13:53,171) | root| INFO | => Thread completed
(2025-01-01 16:14:01,765) | root| INFO | => Thread completed
(2025-01-01 16:14:10,782) | root| INFO | => Thread completed
(2025-01-01 16:14:26,307) | root| INFO | => Thread completed
(2025-01-01 16:14:43,055) | root| INFO | => Thread completed
(2025-01-01 16:15:03,747) | root| INFO | => Thread completed
(2025-01-01 16:15:12,378) | root| INFO | => Thread completed
(2025-01-01 16:15:21,438) | root| INFO | => Thread completed
(2025-01-01 16:15:39,529) | root| INFO | => Thread completed
(2025-01-01 16:15:48,804) | root| INFO | => Thread completed
(2025-01-01 16:15:56,504) | root| INFO | => Thread canceled - Remaining time: 0 seconds
(2025-01-01 16:16:01,650) | root| INFO | => Thread completed
(2025-01-01 16:16:24,049) | root| INFO | => Thread completed
(2025-01-01 16:16:31,656) | root| INFO | => Thread completed
(2025-01-01 16:16:40,007) | root| INFO | => Thread completed
(2025-01-01 16:16:50,015) | root| INFO | => Thread completed
(2025-01-01 16:16:57,965) | root| INFO | => Thread completed
(2025-01-01 16:17:13,689) | root| INFO | => Thread completed
(2025-01-01 16:17:24,324) | root| INFO | => Thread completed
(2025-01-01 16:17:44,880) | root| INFO | => Thread completed
(2025-01-01 16:17:59,005) | root| INFO | => Thread completed
(2025-01-01 16:18:12,323) | root| INFO | => Thread completed
(2025-01-01 16:18:22,431) | root| INFO | => Thread canceled - Remaining time: 0 seconds
(2025-01-01 16:18:27,633) | root| INFO | => Thread completed
(2025-01-01 16:18:36,791) | root| INFO | => Thread completed
(2025-01-01 16:18:43,993) | root| INFO | => Thread canceled - Remaining time: 2 seconds
(2025-01-01 16:18:49,213) | root| INFO | => Thread completed
(2025-01-01 16:19:01,364) | root| INFO | => Thread completed
(2025-01-01 16:19:09,731) | root| INFO | => Thread completed
(2025-01-01 16:19:20,505) | root| INFO | => Thread completed
(2025-01-01 16:19:30,721) | root| INFO | => Thread completed
(2025-01-01 16:19:40,482) | root| INFO | => Thread completed
(2025-01-01 16:19:48,757) | root| INFO | => Thread completed
(2025-01-01 16:19:56,344) | root| INFO | => Thread completed
(2025-01-01 16:20:05,816) | root| INFO | => Thread completed
(2025-01-01 16:20:13,991) | root| INFO | => Thread completed
(2025-01-01 16:21:08,482) | root| INFO | => Thread completed
(2025-01-01 16:21:18,297) | root| INFO | => Thread completed
(2025-01-01 16:21:26,363) | root| INFO | => Thread completed
(2025-01-01 16:21:34,607) | root| INFO | => Thread completed
(2025-01-01 16:21:45,838) | root| INFO | => Thread completed
(2025-01-01 16:21:54,592) | root| INFO | => Thread completed
(2025-01-01 16:22:06,478) | root| INFO | => Thread completed
(2025-01-01 16:29:25,714) | root| INFO | => Thread completed
(2025-01-01 16:29:36,144) | root| INFO | => Thread completed
(2025-01-01 16:29:50,460) | root| INFO | => Thread completed
(2025-01-01 16:30:57,618) | root| INFO | => Thread completed
(2025-01-01 16:31:10,746) | root| INFO | => Thread completed
(2025-01-01 16:31:18,140) | root| INFO | => Thread completed
(2025-01-01 16:31:29,852) | root| INFO | => Thread completed
(2025-01-01 16:31:46,272) | root| INFO | => Thread completed
(2025-01-01 16:34:35,037) | root| INFO | => Thread completed
(2025-01-01 16:34:44,016) | root| INFO | => Thread completed
(2025-01-01 16:35:02,100) | root| INFO | => Thread completed
(2025-01-01 16:35:12,799) | root| INFO | => Thread completed
(2025-01-01 16:35:22,460) | root| INFO | => Thread completed
(2025-01-01 16:39:15,168) | root| INFO | => Thread completed
(2025-01-01 16:39:23,161) | root| INFO | => Thread completed
(2025-01-01 16:39:30,612) | root| INFO | => Thread completed
(2025-01-01 16:39:38,608) | root| INFO | => Thread completed
(2025-01-01 16:39:50,741) | root| INFO | => Thread completed
(2025-01-01 16:47:57,017) | root| INFO | => Thread canceled - Remaining time: 0 seconds
(2025-01-01 16:48:02,284) | root| INFO | => Thread completed
(2025-01-01 16:48:48,862) | root| INFO | => Thread completed
(2025-01-01 16:49:42,159) | root| INFO | => Thread completed
(2025-01-01 16:49:55,333) | root| INFO | => Thread completed
(2025-01-01 16:50:03,023) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-01 16:50:08,271) | root| INFO | => Thread completed
(2025-01-01 16:53:06,201) | root| INFO | => Thread completed
